Format Version,1.23,Take Name,Take 2025-12-17 06.35.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.35.01.503 PM,Capture Start Frame,10755390,Total Frames in Take,16256,Total Exported Frames,16256,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,ID,"1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
125,1.042000,1.890097,0.155703,-0.956830
126,1.050000,1.889418,0.155824,-0.957000
127,1.058000,1.888805,0.155887,-0.957477
128,1.067000,1.888311,0.155856,-0.958083
129,1.075000,1.888149,0.155909,-0.958651
130,1.083000,1.888374,0.156033,-0.959381
131,1.092000,1.888944,0.156042,-0.959999
132,1.100000,1.889577,0.155893,-0.960466
133,1.108000,1.890286,0.155802,-0.960509
134,1.117000,1.890972,0.155858,-0.960175
135,1.125000,1.891487,0.155879,-0.959579
136,1.133000,1.891680,0.155873,-0.958961
137,1.142000,1.891615,0.155746,-0.958295
138,1.150000,1.891382,0.155797,-0.957674
139,1.158000,1.890820,0.155718,-0.957073
140,1.167000,1.890104,0.155745,-0.956846
141,1.175000,1.889447,0.155851,-0.956985
142,1.183000,1.888868,0.155936,-0.957453
143,1.192000,1.888334,0.155888,-0.958075
144,1.200000,1.888136,0.155925,-0.958683
145,1.208000,1.888375,0.156057,-0.959351
146,1.217000,1.888939,0.156059,-0.959988
147,1.225000,1.889553,0.155903,-0.960457
148,1.233000,1.890275,0.155828,-0.960511
149,1.242000,1.890929,0.155809,-0.960182
150,1.250000,1.891456,0.155861,-0.959584
151,1.258000,1.891683,0.155830,-0.958920
152,1.267000,1.891613,0.155730,-0.958285
153,1.275000,1.891351,0.155757,-0.957698
154,1.283000,1.890801,0.155653,-0.957048
155,1.292000,1.890122,0.155701,-0.956829
156,1.300000,1.889444,0.155827,-0.956965
157,1.308000,1.888851,0.155891,-0.957411
158,1.317000,1.888340,0.155827,-0.958008
159,1.325000,1.888156,0.155898,-0.958625
160,1.333000,1.888355,0.155993,-0.959311
161,1.342000,1.888918,0.156013,-0.959967
162,1.350000,1.889545,0.155863,-0.960408
163,1.358000,1.890260,0.155771,-0.960480
164,1.367000,1.890934,0.155812,-0.960159
165,1.375000,1.891433,0.155822,-0.959587
166,1.383000,1.891673,0.155770,-0.958933
167,1.392000,1.891610,0.155703,-0.958281
168,1.400000,1.891374,0.155755,-0.957698
169,1.408000,1.890828,0.155672,-0.957033
170,1.417000,1.890126,0.155699,-0.956829
171,1.425000,1.889472,0.155800,-0.956944
172,1.433000,1.888882,0.155876,-0.957415
173,1.442000,1.888356,0.155861,-0.957996
174,1.450000,1.888143,0.155880,-0.958634
175,1.458000,1.888367,0.155998,-0.959305
176,1.467000,1.888913,0.156020,-0.959939
177,1.475000,1.889530,0.155893,-0.960417
178,1.483000,1.890239,0.155782,-0.960483
179,1.492000,1.890923,0.155810,-0.960186
180,1.500000,1.891445,0.155838,-0.959598
181,1.508000,1.891695,0.155804,-0.958942
182,1.517000,1.891627,0.155713,-0.958306
183,1.525000,1.891392,0.155749,-0.957710
184,1.533000,1.890844,0.155651,-0.957042
185,1.542000,1.890147,0.155669,-0.956809
186,1.550000,1.889475,0.155805,-0.956937
187,1.558000,1.888881,0.155852,-0.957377
188,1.567000,1.888363,0.155850,-0.957983
189,1.575000,1.888154,0.155891,-0.958574
190,1.583000,1.888366,0.156017,-0.959293
191,1.592000,1.888916,0.156066,-0.959947
192,1.600000,1.889528,0.155905,-0.960421
193,1.608000,1.890225,0.155814,-0.960519
194,1.617000,1.890907,0.155837,-0.960191
