Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1781688380.170659,107,1781688380,164293711,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598683378533365,0.9999539315775496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6035198718309402e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2023000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3590.7303242702037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3590.7303242702037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018017346151433244)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.2372823,108,1781688380,224320573,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598683378533365,0.9999539315775496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6031706258654594e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2024000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3590.3336708123097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3590.3336708123097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018015220043565705)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.2706544,109,1781688380,244399007,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598683378533365,0.9999539315775496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0314625948667526e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2025000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 402.98163365828805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 402.98163365828805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0156167785834178e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.3038726,110,1781688380,284448218,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598683378533365,0.9999539315775496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6039703041315079e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2026000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1601.3718331453856, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1601.3718331453856, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.019295543193472e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.3373606,111,1781688380,324413104,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598683378533365,0.9999539315775496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5973346307873726e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2027000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1594.6492239403306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1594.6492239403306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.985561286272258e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.40415,112,1781688380,364394137,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598683378533365,0.9999539315775496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5986151993274689e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2028000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1595.935984802083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1595.935984802083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.992015397340069e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.4384515,113,1781688380,404423660,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.010471235438327182,0.9999451751113133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6023404896259308e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2029000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1599.8033310114406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1599.8033310114406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.011412986741462e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.4706244,114,1781688380,444429276,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.009598708348131375,0.9999539313378629,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6004778444766998e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2030000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1597.8960446396377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1597.8960446396377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.001846464744666e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.5376024,115,1781688380,484461195,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.010471235443804907,0.9999451751112559,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6025733202695847e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2031000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1599.9945508876117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1599.9945508876117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.012372074839291e-05)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1781688380.5706134,116,1781688380,544493005,/odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-0.010471260392971016,0.9999451748499927,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.603985533118248e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2032000000.000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3590.8979408432497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3590.8979408432497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018018190146618096)",0.0,0.0,0.0,0.0,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
