Format Version,1.23,Take Name,Take 2025-12-17 06.07.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.07.01.513 PM,Capture Start Frame,10553788,Total Frames in Take,14436,Total Exported Frames,14436,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013
,ID,"19BCDF4D9ECDA9D11F0","19BCDF4D9ECDA9D11F0","19BCDF4D9ECDA9D11F0","19CCDF4D9ECDA9D11F0","19CCDF4D9ECDA9D11F0","19CCDF4D9ECDA9D11F0","19DCDF4D9ECDA9D11F0","19DCDF4D9ECDA9D11F0","19DCDF4D9ECDA9D11F0","19ECDF4D9ECDA9D11F0","19ECDF4D9ECDA9D11F0","19ECDF4D9ECDA9D11F0","19FCDF4D9ECDA9D11F0","19FCDF4D9ECDA9D11F0","19FCDF4D9ECDA9D11F0","1A0CDF4D9ECDA9D11F0","1A0CDF4D9ECDA9D11F0","1A0CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,
1,0.008000,,,,,,,,,,,,,,,,,,
2,0.017000,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,
4,0.033000,,,,,,,,,,,,,,,,,,
5,0.042000,,,,,,,,,,,,,,,,,,
6,0.050000,,,,,,,,,,,,,,,,,,
7,0.058000,,,,,,,,,,,,,,,,,,
8,0.067000,,,,,,,,,,,,,,,,,,
9,0.075000,,,,,,,,,,,,,,,,,,
10,0.083000,,,,,,,,,,,,,,,,,,
11,0.092000,,,,,,,,,,,,,,,,,,
12,0.100000,,,,,,,,,,,,,,,,,,
13,0.108000,,,,,,,,,,,,,,,,,,
14,0.117000,,,,,,,,,,,,,,,,,,
15,0.125000,,,,,,,,,,,,,,,,,,
16,0.133000,,,,,,,,,,,,,,,,,,
17,0.142000,,,,,,,,,,,,,,,,,,
18,0.150000,,,,,,,,,,,,,,,,,,
19,0.158000,,,,,,,,,,,,,,,,,,
20,0.167000,,,,,,,,,,,,,,,,,,
21,0.175000,,,,,,,,,,,,,,,,,,
22,0.183000,,,,,,,,,,,,,,,,,,
23,0.192000,,,,,,,,,,,,,,,,,,
24,0.200000,,,,,,,,,,,,,,,,,,
25,0.208000,,,,,,,,,,,,,,,,,,
26,0.217000,,,,,,,,,,,,,,,,,,
27,0.225000,,,,,,,,,,,,,,,,,,
28,0.233000,,,,,,,,,,,,,,,,,,
29,0.242000,,,,,,,,,,,,,,,,,,
30,0.250000,,,,,,,,,,,,,,,,,,
31,0.258000,,,,,,,,,,,,,,,,,,
32,0.267000,,,,,,,,,,,,,,,,,,
33,0.275000,,,,,,,,,,,,,,,,,,
34,0.283000,,,,,,,,,,,,,,,,,,
35,0.292000,,,,,,,,,,,,,,,,,,
36,0.300000,,,,,,,,,,,,,,,,,,
37,0.308000,,,,,,,,,,,,,,,,,,
38,0.317000,,,,,,,,,,,,,,,,,,
39,0.325000,,,,,,,,,,,,,,,,,,
40,0.333000,,,,,,,,,,,,,,,,,,
41,0.342000,,,,,,,,,,,,,,,,,,
42,0.350000,,,,,,,,,,,,,,,,,,
43,0.358000,,,,,,,,,,,,,,,,,,
44,0.367000,,,,,,,,,,,,,,,,,,
45,0.375000,,,,,,,,,,,,,,,,,,
46,0.383000,,,,,,,,,,,,,,,,,,
47,0.392000,,,,,,,,,,,,,,,,,,
48,0.400000,,,,,,,,,,,,,,,,,,
49,0.408000,,,,,,,,,,,,,,,,,,
50,0.417000,,,,,,,,,,,,,,,,,,
51,0.425000,,,,,,,,,,,,,,,,,,
52,0.433000,,,,,,,,,,,,,,,,,,
53,0.442000,,,,,,,,,,,,,,,,,,
54,0.450000,,,,,,,,,,,,,,,,,,
55,0.458000,,,,,,,,,,,,,,,,,,
56,0.467000,,,,,,,,,,,,,,,,,,
57,0.475000,,,,,,,,,,,,,,,,,,
58,0.483000,,,,,,,,,,,,,,,,,,
59,0.492000,,,,,,,,,,,,,,,,,,
60,0.500000,,,,,,,,,,,,,,,,,,
61,0.508000,,,,,,,,,,,,,,,,,,
62,0.517000,,,,,,,,,,,,,,,,,,
63,0.525000,,,,,,,,,,,,,,,,,,
64,0.533000,,,,,,,,,,,,,,,,,,
65,0.542000,,,,,,,,,,,,,,,,,,
66,0.550000,,,,,,,,,,,,,,,,,,
67,0.558000,,,,,,,,,,,,,,,,,,
68,0.567000,,,,,,,,,,,,,,,,,,
69,0.575000,,,,,,,,,,,,,,,,,,
70,0.583000,,,,,,,,,,,,,,,,,,
71,0.592000,,,,,,,,,,,,,,,,,,
72,0.600000,,,,,,,,,,,,,,,,,,
73,0.608000,,,,,,,,,,,,,,,,,,
74,0.617000,,,,,,,,,,,,,,,,,,
75,0.625000,,,,,,,,,,,,,,,,,,
76,0.633000,,,,,,,,,,,,,,,,,,
77,0.642000,,,,,,,,,,,,,,,,,,
78,0.650000,,,,,,,,,,,,,,,,,,
79,0.658000,,,,,,,,,,,,,,,,,,
80,0.667000,,,,,,,,,,,,,,,,,,
81,0.675000,,,,,,,,,,,,,,,,,,
82,0.683000,,,,,,,,,,,,,,,,,,
83,0.692000,,,,,,,,,,,,,,,,,,
84,0.700000,,,,,,,,,,,,,,,,,,
85,0.708000,,,,,,,,,,,,,,,,,,
86,0.717000,,,,,,,,,,,,,,,,,,
87,0.725000,,,,,,,,,,,,,,,,,,
88,0.733000,,,,,,,,,,,,,,,,,,
89,0.742000,,,,,,,,,,,,,,,,,,
90,0.750000,,,,,,,,,,,,,,,,,,
91,0.758000,,,,,,,,,,,,,,,,,,
92,0.767000,,,,,,,,,,,,,,,,,,
93,0.775000,,,,,,,,,,,,,,,,,,
94,0.783000,,,,,,,,,,,,,,,,,,
95,0.792000,,,,,,,,,,,,,,,,,,
96,0.800000,,,,,,,,,,,,,,,,,,
97,0.808000,,,,,,,,,,,,,,,,,,
98,0.817000,,,,,,,,,,,,,,,,,,
99,0.825000,,,,,,,,,,,,,,,,,,
100,0.833000,,,,,,,,,,,,,,,,,,
101,0.842000,,,,,,,,,,,,,,,,,,
102,0.850000,,,,,,,,,,,,,,,,,,
103,0.858000,,,,,,,,,,,,,,,,,,
104,0.867000,,,,,,,,,,,,,,,,,,
105,0.875000,,,,,,,,,,,,,,,,,,
106,0.883000,,,,,,,,,,,,,,,,,,
107,0.892000,,,,,,,,,,,,,,,,,,
108,0.900000,,,,,,,,,,,,,,,,,,
109,0.908000,,,,,,,,,,,,,,,,,,
110,0.917000,,,,,,,,,,,,,,,,,,
111,0.925000,,,,,,,,,,,,,,,,,,
112,0.933000,,,,,,,,,,,,,,,,,,
113,0.942000,,,,,,,,,,,,,,,,,,
114,0.950000,,,,,,,,,,,,,,,,,,
115,0.958000,,,,,,,,,,,,,,,,,,
116,0.967000,,,,,,,,,,,,,,,,,,
117,0.975000,,,,,,,,,,,,,,,,,,
118,0.983000,,,,,,,,,,,,,,,,,,
119,0.992000,,,,,,,,,,,,,,,,,,
120,1.000000,,,,,,,,,,,,,,,,,,
121,1.008000,,,,,,,,,,,,,,,,,,
122,1.017000,,,,,,,,,,,,,,,,,,
123,1.025000,,,,,,,,,,,,,,,,,,
124,1.033000,,,,,,,,,,,,,,,,,,
125,1.042000,,,,,,,,,,,,,,,,,,
126,1.050000,,,,,,,,,,,,,,,,,,
127,1.058000,,,,,,,,,,,,,,,,,,
128,1.067000,,,,,,,,,,,,,,,,,,
129,1.075000,,,,,,,,,,,,,,,,,,
130,1.083000,,,,,,,,,,,,,,,,,,
131,1.092000,,,,,,,,,,,,,,,,,,
132,1.100000,,,,,,,,,,,,,,,,,,
133,1.108000,,,,,,,,,,,,,,,,,,
134,1.117000,,,,,,,,,,,,,,,,,,
135,1.125000,,,,,,,,,,,,,,,,,,
136,1.133000,,,,,,,,,,,,,,,,,,
137,1.142000,,,,,,,,,,,,,,,,,,
138,1.150000,,,,,,,,,,,,,,,,,,
139,1.158000,,,,,,,,,,,,,,,,,,
140,1.167000,,,,,,,,,,,,,,,,,,
141,1.175000,,,,,,,,,,,,,,,,,,
142,1.183000,,,,,,,,,,,,,,,,,,
143,1.192000,,,,,,,,,,,,,,,,,,
144,1.200000,,,,,,,,,,,,,,,,,,
145,1.208000,,,,,,,,,,,,,,,,,,
146,1.217000,,,,,,,,,,,,,,,,,,
147,1.225000,,,,,,,,,,,,,,,,,,
148,1.233000,,,,,,,,,,,,,,,,,,
149,1.242000,,,,,,,,,,,,,,,,,,
150,1.250000,,,,,,,,,,,,,,,,,,
151,1.258000,,,,,,,,,,,,,,,,,,
152,1.267000,,,,,,,,,,,,,,,,,,
153,1.275000,,,,,,,,,,,,,,,,,,
154,1.283000,,,,,,,,,,,,,,,,,,
155,1.292000,,,,,,,,,,,,,,,,,,
156,1.300000,,,,,,,,,,,,,,,,,,
157,1.308000,,,,,,,,,,,,,,,,,,
158,1.317000,,,,,,,,,,,,,,,,,,
159,1.325000,,,,,,,,,,,,,,,,,,
160,1.333000,,,,,,,,,,,,,,,,,,
161,1.342000,,,,,,,,,,,,,,,,,,
162,1.350000,,,,,,,,,,,,,,,,,,
163,1.358000,,,,,,,,,,,,,,,,,,
164,1.367000,,,,,,,,,,,,,,,,,,
165,1.375000,,,,,,,,,,,,,,,,,,
166,1.383000,,,,,,,,,,,,,,,,,,
167,1.392000,,,,,,,,,,,,,,,,,,
168,1.400000,,,,,,,,,,,,,,,,,,
169,1.408000,,,,,,,,,,,,,,,,,,
170,1.417000,,,,,,,,,,,,,,,,,,
171,1.425000,,,,,,,,,,,,,,,,,,
172,1.433000,,,,,,,,,,,,,,,,,,
173,1.442000,,,,,,,,,,,,,,,,,,
174,1.450000,,,,,,,,,,,,,,,,,,
175,1.458000,,,,,,,,,,,,,,,,,,
176,1.467000,,,,,,,,,,,,,,,,,,
177,1.475000,,,,,,,,,,,,,,,,,,
178,1.483000,,,,,,,,,,,,,,,,,,
179,1.492000,,,,,,,,,,,,,,,,,,
180,1.500000,,,,,,,,,,,,,,,,,,
181,1.508000,,,,,,,,,,,,,,,,,,
182,1.517000,,,,,,,,,,,,,,,,,,
183,1.525000,,,,,,,,,,,,,,,,,,
184,1.533000,,,,,,,,,,,,,,,,,,
185,1.542000,,,,,,,,,,,,,,,,,,
186,1.550000,,,,,,,,,,,,,,,,,,
187,1.558000,,,,,,,,,,,,,,,,,,
188,1.567000,,,,,,,,,,,,,,,,,,
189,1.575000,,,,,,,,,,,,,,,,,,
190,1.583000,,,,,,,,,,,,,,,,,,
191,1.592000,,,,,,,,,,,,,,,,,,
192,1.600000,,,,,,,,,,,,,,,,,,
193,1.608000,,,,,,,,,,,,,,,,,,
194,1.617000,,,,,,,,,,,,,,,,,,
195,1.625000,,,,,,,,,,,,,,,,,,
196,1.633000,,,,,,,,,,,,,,,,,,
197,1.642000,,,,,,,,,,,,,,,,,,
198,1.650000,,,,,,,,,,,,,,,,,,
199,1.658000,,,,,,,,,,,,,,,,,,
200,1.667000,,,,,,,,,,,,,,,,,,
201,1.675000,,,,,,,,,,,,,,,,,,
202,1.683000,,,,,,,,,,,,,,,,,,
203,1.692000,,,,,,,,,,,,,,,,,,
204,1.700000,,,,,,,,,,,,,,,,,,
205,1.708000,,,,,,,,,,,,,,,,,,
206,1.717000,,,,,,,,,,,,,,,,,,
207,1.725000,,,,,,,,,,,,,,,,,,
208,1.733000,,,,,,,,,,,,,,,,,,
209,1.742000,,,,,,,,,,,,,,,,,,
210,1.750000,,,,,,,,,,,,,,,,,,
211,1.758000,,,,,,,,,,,,,,,,,,
212,1.767000,,,,,,,,,,,,,,,,,,
213,1.775000,,,,,,,,,,,,,,,,,,
214,1.783000,,,,,,,,,,,,,,,,,,
215,1.792000,,,,,,,,,,,,,,,,,,
216,1.800000,,,,,,,,,,,,,,,,,,
217,1.808000,,,,,,,,,,,,,,,,,,
218,1.817000,,,,,,,,,,,,,,,,,,
219,1.825000,,,,,,,,,,,,,,,,,,
220,1.833000,,,,,,,,,,,,,,,,,,
221,1.842000,,,,,,,,,,,,,,,,,,
222,1.850000,,,,,,,,,,,,,,,,,,
223,1.858000,,,,,,,,,,,,,,,,,,
224,1.867000,,,,,,,,,,,,,,,,,,
225,1.875000,,,,,,,,,,,,,,,,,,
226,1.883000,,,,,,,,,,,,,,,,,,
227,1.892000,,,,,,,,,,,,,,,,,,
228,1.900000,,,,,,,,,,,,,,,,,,
229,1.908000,,,,,,,,,,,,,,,,,,
230,1.917000,,,,,,,,,,,,,,,,,,
231,1.925000,,,,,,,,,,,,,,,,,,
232,1.933000,,,,,,,,,,,,,,,,,,
233,1.942000,,,,,,,,,,,,,,,,,,
234,1.950000,,,,,,,,,,,,,,,,,,
235,1.958000,,,,,,,,,,,,,,,,,,
236,1.967000,,,,,,,,,,,,,,,,,,
237,1.975000,,,,,,,,,,,,,,,,,,
238,1.983000,,,,,,,,,,,,,,,,,,
239,1.992000,,,,,,,,,,,,,,,,,,
240,2.000000,,,,,,,,,,,,,,,,,,
241,2.008000,,,,,,,,,,,,,,,,,,
242,2.017000,,,,,,,,,,,,,,,,,,
243,2.025000,,,,,,,,,,,,,,,,,,
244,2.033000,,,,,,,,,,,,,,,,,,
245,2.042000,,,,,,,,,,,,,,,,,,
246,2.050000,,,,,,,,,,,,,,,,,,
247,2.058000,,,,,,,,,,,,,,,,,,
248,2.067000,,,,,,,,,,,,,,,,,,
249,2.075000,,,,,,,,,,,,,,,,,,
250,2.083000,,,,,,,,,,,,,,,,,,
251,2.092000,,,,,,,,,,,,,,,,,,
252,2.100000,,,,,,,,,,,,,,,,,,
253,2.108000,,,,,,,,,,,,,,,,,,
254,2.117000,,,,,,,,,,,,,,,,,,
255,2.125000,,,,,,,,,,,,,,,,,,
256,2.133000,,,,,,,,,,,,,,,,,,
257,2.142000,,,,,,,,,,,,,,,,,,
258,2.150000,,,,,,,,,,,,,,,,,,
259,2.158000,,,,,,,,,,,,,,,,,,
260,2.167000,,,,,,,,,,,,,,,,,,
261,2.175000,,,,,,,,,,,,,,,,,,
262,2.183000,,,,,,,,,,,,,,,,,,
263,2.192000,,,,,,,,,,,,,,,,,,
264,2.200000,,,,,,,,,,,,,,,,,,
265,2.208000,,,,,,,,,,,,,,,,,,
266,2.217000,,,,,,,,,,,,,,,,,,
267,2.225000,,,,,,,,,,,,,,,,,,
268,2.233000,,,,,,,,,,,,,,,,,,
269,2.242000,,,,,,,,,,,,,,,,,,
270,2.250000,,,,,,,,,,,,,,,,,,
271,2.258000,,,,,,,,,,,,,,,,,,
272,2.267000,,,,,,,,,,,,,,,,,,
273,2.275000,,,,,,,,,,,,,,,,,,
274,2.283000,,,,,,,,,,,,,,,,,,
275,2.292000,,,,,,,,,,,,,,,,,,
276,2.300000,,,,,,,,,,,,,,,,,,
277,2.308000,,,,,,,,,,,,,,,,,,
278,2.317000,,,,,,,,,,,,,,,,,,
279,2.325000,,,,,,,,,,,,,,,,,,
280,2.333000,,,,,,,,,,,,,,,,,,
281,2.342000,,,,,,,,,,,,,,,,,,
282,2.350000,,,,,,,,,,,,,,,,,,
283,2.358000,,,,,,,,,,,,,,,,,,
284,2.367000,,,,,,,,,,,,,,,,,,
285,2.375000,,,,,,,,,,,,,,,,,,
286,2.383000,,,,,,,,,,,,,,,,,,
287,2.392000,,,,,,,,,,,,,,,,,,
288,2.400000,,,,,,,,,,,,,,,,,,
289,2.408000,,,,,,,,,,,,,,,,,,
290,2.417000,,,,,,,,,,,,,,,,,,
291,2.425000,,,,,,,,,,,,,,,,,,
292,2.433000,,,,,,,,,,,,,,,,,,
293,2.442000,,,,,,,,,,,,,,,,,,
294,2.450000,,,,,,,,,,,,,,,,,,
295,2.458000,,,,,,,,,,,,,,,,,,
296,2.467000,,,,,,,,,,,,,,,,,,
297,2.475000,,,,,,,,,,,,,,,,,,
298,2.483000,,,,,,,,,,,,,,,,,,
299,2.492000,,,,,,,,,,,,,,,,,,
300,2.500000,,,,,,,,,,,,,,,,,,
301,2.508000,,,,,,,,,,,,,,,,,,
302,2.517000,,,,,,,,,,,,,,,,,,
303,2.525000,,,,,,,,,,,,,,,,,,
304,2.533000,,,,,,,,,,,,,,,,,,
305,2.542000,,,,,,,,,,,,,,,,,,
306,2.550000,,,,,,,,,,,,,,,,,,
307,2.558000,,,,,,,,,,,,,,,,,,
308,2.567000,,,,,,,,,,,,,,,,,,
309,2.575000,,,,,,,,,,,,,,,,,,
310,2.583000,,,,,,,,,,,,,,,,,,
311,2.592000,,,,,,,,,,,,,,,,,,
312,2.600000,,,,,,,,,,,,,,,,,,
313,2.608000,,,,,,,,,,,,,,,,,,
314,2.617000,,,,,,,,,,,,,,,,,,
315,2.625000,,,,,,,,,,,,,,,,,,
316,2.633000,,,,,,,,,,,,,,,,,,
317,2.642000,,,,,,,,,,,,,,,,,,
318,2.650000,,,,,,,,,,,,,,,,,,
319,2.658000,,,,,,,,,,,,,,,,,,
320,2.667000,,,,,,,,,,,,,,,,,,
321,2.675000,,,,,,,,,,,,,,,,,,
322,2.683000,,,,,,,,,,,,,,,,,,
323,2.692000,,,,,,,,,,,,,,,,,,
324,2.700000,,,,,,,,,,,,,,,,,,
325,2.708000,,,,,,,,,,,,,,,,,,
326,2.717000,,,,,,,,,,,,,,,,,,
327,2.725000,,,,,,,,,,,,,,,,,,
328,2.733000,,,,,,,,,,,,,,,,,,
329,2.742000,,,,,,,,,,,,,,,,,,
330,2.750000,,,,,,,,,,,,,,,,,,
331,2.758000,,,,,,,,,,,,,,,,,,
332,2.767000,,,,,,,,,,,,,,,,,,
333,2.775000,,,,,,,,,,,,,,,,,,
334,2.783000,,,,,,,,,,,,,,,,,,
335,2.792000,,,,,,,,,,,,,,,,,,
336,2.800000,,,,,,,,,,,,,,,,,,
337,2.808000,,,,,,,,,,,,,,,,,,
338,2.817000,,,,,,,,,,,,,,,,,,
339,2.825000,,,,,,,,,,,,,,,,,,
340,2.833000,,,,,,,,,,,,,,,,,,
341,2.842000,,,,,,,,,,,,,,,,,,
342,2.850000,,,,,,,,,,,,,,,,,,
343,2.858000,,,,,,,,,,,,,,,,,,
344,2.867000,,,,,,,,,,,,,,,,,,
345,2.875000,,,,,,,,,,,,,,,,,,
346,2.883000,,,,,,,,,,,,,,,,,,
347,2.892000,,,,,,,,,,,,,,,,,,
348,2.900000,,,,,,,,,,,,,,,,,,
349,2.908000,,,,,,,,,,,,,,,,,,
350,2.917000,,,,,,,,,,,,,,,,,,
351,2.925000,,,,,,,,,,,,,,,,,,
352,2.933000,,,,,,,,,,,,,,,,,,
353,2.942000,,,,,,,,,,,,,,,,,,
354,2.950000,,,,,,,,,,,,,,,,,,
355,2.958000,,,,,,,,,,,,,,,,,,
356,2.967000,,,,,,,,,,,,,,,,,,
357,2.975000,,,,,,,,,,,,,,,,,,
358,2.983000,,,,,,,,,,,,,,,,,,
359,2.992000,,,,,,,,,,,,,,,,,,
360,3.000000,,,,,,,,,,,,,,,,,,
361,3.008000,,,,,,,,,,,,,,,,,,
362,3.017000,,,,,,,,,,,,,,,,,,
363,3.025000,,,,,,,,,,,,,,,,,,
364,3.033000,,,,,,,,,,,,,,,,,,
365,3.042000,,,,,,,,,,,,,,,,,,
366,3.050000,,,,,,,,,,,,,,,,,,
367,3.058000,,,,,,,,,,,,,,,,,,
368,3.067000,,,,,,,,,,,,,,,,,,
369,3.075000,,,,,,,,,,,,,,,,,,
370,3.083000,,,,,,,,,,,,,,,,,,
371,3.092000,,,,,,,,,,,,,,,,,,
372,3.100000,,,,,,,,,,,,,,,,,,
373,3.108000,,,,,,,,,,,,,,,,,,
374,3.117000,,,,,,,,,,,,,,,,,,
375,3.125000,,,,,,,,,,,,,,,,,,
376,3.133000,,,,,,,,,,,,,,,,,,
377,3.142000,,,,,,,,,,,,,,,,,,
378,3.150000,,,,,,,,,,,,,,,,,,
379,3.158000,,,,,,,,,,,,,,,,,,
380,3.167000,,,,,,,,,,,,,,,,,,
381,3.175000,,,,,,,,,,,,,,,,,,
382,3.183000,,,,,,,,,,,,,,,,,,
383,3.192000,,,,,,,,,,,,,,,,,,
384,3.200000,,,,,,,,,,,,,,,,,,
385,3.208000,,,,,,,,,,,,,,,,,,
386,3.217000,,,,,,,,,,,,,,,,,,
387,3.225000,,,,,,,,,,,,,,,,,,
388,3.233000,,,,,,,,,,,,,,,,,,
389,3.242000,,,,,,,,,,,,,,,,,,
390,3.250000,,,,,,,,,,,,,,,,,,
391,3.258000,,,,,,,,,,,,,,,,,,
392,3.267000,,,,,,,,,,,,,,,,,,
393,3.275000,,,,,,,,,,,,,,,,,,
394,3.283000,,,,,,,,,,,,,,,,,,
395,3.292000,,,,,,,,,,,,,,,,,,
396,3.300000,,,,,,,,,,,,,,,,,,
397,3.308000,,,,,,,,,,,,,,,,,,
398,3.317000,,,,,,,,,,,,,,,,,,
399,3.325000,,,,,,,,,,,,,,,,,,
400,3.333000,,,,,,,,,,,,,,,,,,
401,3.342000,,,,,,,,,,,,,,,,,,
402,3.350000,,,,,,,,,,,,,,,,,,
403,3.358000,,,,,,,,,,,,,,,,,,
404,3.367000,,,,,,,,,,,,,,,,,,
405,3.375000,,,,,,,,,,,,,,,,,,
406,3.383000,,,,,,,,,,,,,,,,,,
407,3.392000,,,,,,,,,,,,,,,,,,
408,3.400000,,,,,,,,,,,,,,,,,,
409,3.408000,,,,,,,,,,,,,,,,,,
410,3.417000,,,,,,,,,,,,,,,,,,
411,3.425000,,,,,,,,,,,,,,,,,,
412,3.433000,,,,,,,,,,,,,,,,,,
413,3.442000,,,,,,,,,,,,,,,,,,
414,3.450000,,,,,,,,,,,,,,,,,,
415,3.458000,,,,,,,,,,,,,,,,,,
416,3.467000,,,,,,,,,,,,,,,,,,
417,3.475000,,,,,,,,,,,,,,,,,,
418,3.483000,,,,,,,,,,,,,,,,,,
419,3.492000,,,,,,,,,,,,,,,,,,
420,3.500000,,,,,,,,,,,,,,,,,,
421,3.508000,,,,,,,,,,,,,,,,,,
422,3.517000,,,,,,,,,,,,,,,,,,
423,3.525000,,,,,,,,,,,,,,,,,,
424,3.533000,,,,,,,,,,,,,,,,,,
425,3.542000,,,,,,,,,,,,,,,,,,
426,3.550000,,,,,,,,,,,,,,,,,,
427,3.558000,,,,,,,,,,,,,,,,,,
428,3.567000,,,,,,,,,,,,,,,,,,
429,3.575000,,,,,,,,,,,,,,,,,,
430,3.583000,,,,,,,,,,,,,,,,,,
431,3.592000,,,,,,,,,,,,,,,,,,
432,3.600000,,,,,,,,,,,,,,,,,,
433,3.608000,,,,,,,,,,,,,,,,,,
434,3.617000,,,,,,,,,,,,,,,,,,
435,3.625000,,,,,,,,,,,,,,,,,,
436,3.633000,,,,,,,,,,,,,,,,,,
437,3.642000,,,,,,,,,,,,,,,,,,
438,3.650000,,,,,,,,,,,,,,,,,,
439,3.658000,,,,,,,,,,,,,,,,,,
440,3.667000,,,,,,,,,,,,,,,,,,
441,3.675000,,,,,,,,,,,,,,,,,,
442,3.683000,,,,,,,,,,,,,,,,,,
443,3.692000,,,,,,,,,,,,,,,,,,
444,3.700000,,,,,,,,,,,,,,,,,,
445,3.708000,,,,,,,,,,,,,,,,,,
446,3.717000,,,,,,,,,,,,,,,,,,
447,3.725000,,,,,,,,,,,,,,,,,,
448,3.733000,,,,,,,,,,,,,,,,,,
449,3.742000,,,,,,,,,,,,,,,,,,
450,3.750000,,,,,,,,,,,,,,,,,,
451,3.758000,,,,,,,,,,,,,,,,,,
452,3.767000,,,,,,,,,,,,,,,,,,
453,3.775000,,,,,,,,,,,,,,,,,,
454,3.783000,,,,,,,,,,,,,,,,,,
455,3.792000,,,,,,,,,,,,,,,,,,
456,3.800000,,,,,,,,,,,,,,,,,,
457,3.808000,,,,,,,,,,,,,,,,,,
458,3.817000,,,,,,,,,,,,,,,,,,
459,3.825000,,,,,,,,,,,,,,,,,,
460,3.833000,,,,,,,,,,,,,,,,,,
461,3.842000,,,,,,,,,,,,,,,,,,
462,3.850000,,,,,,,,,,,,,,,,,,
463,3.858000,,,,,,,,,,,,,,,,,,
464,3.867000,,,,,,,,,,,,,,,,,,
465,3.875000,,,,,,,,,,,,,,,,,,
466,3.883000,,,,,,,,,,,,,,,,,,
467,3.892000,,,,,,,,,,,,,,,,,,
468,3.900000,,,,,,,,,,,,,,,,,,
469,3.908000,,,,,,,,,,,,,,,,,,
470,3.917000,,,,,,,,,,,,,,,,,,
471,3.925000,,,,,,,,,,,,,,,,,,
472,3.933000,,,,,,,,,,,,,,,,,,
473,3.942000,,,,,,,,,,,,,,,,,,
474,3.950000,,,,,,,,,,,,,,,,,,
475,3.958000,,,,,,,,,,,,,,,,,,
476,3.967000,,,,,,,,,,,,,,,,,,
477,3.975000,,,,,,,,,,,,,,,,,,
478,3.983000,,,,,,,,,,,,,,,,,,
479,3.992000,,,,,,,,,,,,,,,,,,
480,4.000000,,,,,,,,,,,,,,,,,,
481,4.008000,,,,,,,,,,,,,,,,,,
482,4.017000,,,,,,,,,,,,,,,,,,
483,4.025000,,,,,,,,,,,,,,,,,,
484,4.033000,,,,,,,,,,,,,,,,,,
485,4.042000,,,,,,,,,,,,,,,,,,
486,4.050000,,,,,,,,,,,,,,,,,,
487,4.058000,,,,,,,,,,,,,,,,,,
488,4.067000,,,,,,,,,,,,,,,,,,
489,4.075000,,,,,,,,,,,,,,,,,,
490,4.083000,,,,,,,,,,,,,,,,,,
491,4.092000,,,,,,,,,,,,,,,,,,
492,4.100000,,,,,,,,,,,,,,,,,,
493,4.108000,,,,,,,,,,,,,,,,,,
494,4.117000,,,,,,,,,,,,,,,,,,
495,4.125000,,,,,,,,,,,,,,,,,,
496,4.133000,,,,,,,,,,,,,,,,,,
497,4.142000,,,,,,,,,,,,,,,,,,
498,4.150000,,,,,,,,,,,,,,,,,,
499,4.158000,,,,,,,,,,,,,,,,,,
500,4.167000,,,,,,,,,,,,,,,,,,
501,4.175000,,,,,,,,,,,,,,,,,,
502,4.183000,,,,,,,,,,,,,,,,,,
503,4.192000,,,,,,,,,,,,,,,,,,
504,4.200000,,,,,,,,,,,,,,,,,,
505,4.208000,,,,,,,,,,,,,,,,,,
506,4.217000,,,,,,,,,,,,,,,,,,
507,4.225000,,,,,,,,,,,,,,,,,,
508,4.233000,,,,,,,,,,,,,,,,,,
509,4.242000,,,,,,,,,,,,,,,,,,
510,4.250000,,,,,,,,,,,,,,,,,,
511,4.258000,,,,,,,,,,,,,,,,,,
512,4.267000,,,,,,,,,,,,,,,,,,
513,4.275000,,,,,,,,,,,,,,,,,,
514,4.283000,,,,,,,,,,,,,,,,,,
515,4.292000,,,,,,,,,,,,,,,,,,
516,4.300000,,,,,,,,,,,,,,,,,,
517,4.308000,,,,,,,,,,,,,,,,,,
518,4.317000,,,,,,,,,,,,,,,,,,
519,4.325000,,,,,,,,,,,,,,,,,,
520,4.333000,,,,,,,,,,,,,,,,,,
521,4.342000,,,,,,,,,,,,,,,,,,
522,4.350000,,,,,,,,,,,,,,,,,,
523,4.358000,,,,,,,,,,,,,,,,,,
524,4.367000,,,,,,,,,,,,,,,,,,
