Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance
1781689725.1698723,33770,1781689725,159421173,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.602355718612671e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33771000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3589.4453380058985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3589.4453380058985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018010875178298136)"
1781689725.2368405,33771,1781689725,219455535,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.603985533118248e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33772000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3591.2276815000223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3591.2276815000223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001801972211441516)"
1781689725.2709823,33772,1781689725,239511260,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.023313522338867e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33773000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 402.07095814379863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 402.07095814379863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0110599733391687e-05)"
1781689725.3033638,33773,1781689725,279565939,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6044359654188156e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33774000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1601.8084375500912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1601.8084375500912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.021485474052348e-05)"
1781689725.3372345,33774,1781689725,319574837,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6008270904421806e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33775000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1598.1578200806398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1598.1578200806398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.00315943725316e-05)"
1781689725.3704026,33775,1781689725,359576234,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.600128598511219e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33776000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1597.5595669086324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1597.5595669086324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.000158801180213e-05)"
1781689725.4373317,33776,1781689725,399610601,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6026897355914116e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33777000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.1899265543325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.1899265543325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.013352037217203e-05)"
1781689725.4705646,33777,1781689725,439644134,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6026897355914116e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33778000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.1233698338037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.1233698338037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.013018170771602e-05)"
1781689725.5032792,33778,1781689725,499691257,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.605615347623825e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33779000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3592.723546930123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3592.723546930123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001802738353045008)"
1781689725.570514,33779,1781689725,559804734,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6136480048298836e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33780000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.665224011289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3600.665224011289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018067247219555327)"
1781689725.6038163,33780,1781689725,579817282,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342844,0.9379809580288836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0046870708465576e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33781000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 400.3423147755675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 400.3423147755675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0024102667048904e-05)"
1781689725.637224,33781,1781689725,619840867,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668680189802503,0.9379809493746233,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.60199124366045e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33782000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1599.326440691133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1599.326440691133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.009036328782138e-05)"
1781689725.6709251,33782,1781689725,659883151,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342916,0.9379809580288833,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6033882275223732e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33783000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.8218734340044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.8218734340044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0165217129613e-05)"
1781689725.7371979,33783,1781689725,699858662,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.34668677848342916,0.9379809580288833,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5980331227183342e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33784000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1595.495886146091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1595.495886146091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.989807907526902e-05)"
1781689725.77042,33784,1781689725,739892456,odom,-1.3887227225350642,3.2694310192326927,0.0,0.0,0.0,-0.3466867997561034,0.9379809501662981,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6026897355914116e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33785000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.1441887079272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1600.1441887079272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.013122653394156e-05)"
