Format Version,1.23,Take Name,Take 2025-12-17 06.57.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.57.16.807 PM,Capture Start Frame,10915629,Total Frames in Take,40845,Total Exported Frames,40845,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036
,ID,"1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
106,0.883000,2.054844,0.194751,-0.985594,,,
107,0.892000,2.054858,0.194727,-0.985624,,,
108,0.900000,2.054858,0.194732,-0.985629,,,
109,0.908000,2.054870,0.194730,-0.985600,,,
110,0.917000,2.054884,0.194692,-0.985663,,,
111,0.925000,2.054851,0.194709,-0.985623,,,
112,0.933000,2.054856,0.194724,-0.985615,,,
113,0.942000,2.054857,0.194746,-0.985610,,,
114,0.950000,2.054867,0.194750,-0.985604,,,
115,0.958000,2.054876,0.194730,-0.985632,,,
116,0.967000,2.054885,0.194749,-0.985612,,,
117,0.975000,2.054890,0.194753,-0.985616,,,
118,0.983000,2.054884,0.194704,-0.985682,,,
119,0.992000,2.054893,0.194719,-0.985641,,,
120,1.000000,2.054894,0.194707,-0.985667,,,
121,1.008000,2.054878,0.194710,-0.985625,,,
122,1.017000,2.054876,0.194702,-0.985617,,,
123,1.025000,2.054872,0.194705,-0.985623,,,
124,1.033000,2.054850,0.194713,-0.985590,,,
125,1.042000,2.054873,0.194709,-0.985599,,,
126,1.050000,2.054881,0.194745,-0.985598,,,
127,1.058000,2.054846,0.194735,-0.985589,,,
